name,code,market,par_value,total_shrs
대한제당우,001795,KOSPI,500,6482760
대한제당,001790,KOSPI,500,89696580
대한제분,001130,KOSPI,5000,1690000
대한항공우,003495,KOSPI,5000,1110794
대한항공,003490,KOSPI,5000,368220661
대한해운,005880,KOSPI,500,321209950
대한화섬,003830,KOSPI,5000,1328000
대현,016090,KOSPI,500,44282310
대호에이엘,069460,KOSPI,500,67834027
대호특수강,021040,KOSDAQ,2500,21704774
대호특수강우,021045,KOSDAQ,2500,848492
대화제약,067080,KOSDAQ,500,18616650
더테크놀로지,043090,KOSDAQ,500,12418275
더네이쳐홀딩스,298540,KOSDAQ,500,14848256
더라미,032860,KOSDAQ,500,40395863
더바이오메드,214610,KOSDAQ,500,5150564
더본코리아,475560,KOSPI,500,14737260
더블유게임즈,192080,KOSPI,500,21495906
더블유씨피,393890,KOSDAQ GLOBAL,500,33843144
더블유에스아이,299170,KOSDAQ,100,30027963
THE E&M,089230,KOSDAQ,1000,24332953
더존비즈온,012510,KOSPI,500,30382784
더즌,462860,KOSDAQ,100,71413257
더코디,224060,KOSDAQ,500,5160722
더콘텐츠온,302920,KONEX,500,4552359
덕산네오룩스,213420,KOSDAQ GLOBAL,200,24831179
덕산테코피아,317330,KOSDAQ,500,20476584
덕산하이메탈,077360,KOSDAQ,200,45437002
덕성우,004835,KOSPI,500,1392000
덕성,004830,KOSPI,500,15680000
덕신이피씨,090410,KOSDAQ,100,46084095
덕우전자,263600,KOSDAQ,500,15930310
데브시스터즈,194480,KOSDAQ,500,12203150
데이원컴퍼니,373160,KOSDAQ,500,13763530
데이타솔루션,263800,KOSDAQ,500,16219380
데이터스트림즈,199150,KONEX,500,4268613
덱스터,206560,KOSDAQ,500,25411736
덴티스,261200,KOSDAQ,500,15809700
덴티움,145720,KOSPI,500,11068830
도부,227420,KONEX,500,38044510
도이치모터스,067990,KOSDAQ,500,29181550
도화엔지니어링,002150,KOSPI,500,33720000
동구바이오제약,006620,KOSDAQ,500,28464992
동국산업,005160,KOSDAQ,1000,54244482
동국생명과학,303810,KOSDAQ,500,15992070
동국씨엠,460850,KOSPI,5000,29898656
동국알앤에스,075970,KOSDAQ,1000,18400000
동국S&C,100130,KOSDAQ,500,57143000
동국제강,460860,KOSPI,5000,49608017
동국제약,086450,KOSDAQ GLOBAL,500,44883735
동국홀딩스,001230,KOSPI,5000,31800483
동방메디컬,240550,KOSDAQ,500,20774940
동방,004140,KOSPI,1000,47971766
동방선기,099410,KOSDAQ,500,14000000
동방아그로,007590,KOSPI,500,13617577
동부건설우,005965,KOSPI,5000,225732
동부건설,005960,KOSPI,5000,22946663
동서,026960,KOSPI,500,99700000
동성제약,002210,KOSPI,1000,26619507
동성케미컬,102260,KOSPI,1000,50176791
동성화인텍,033500,KOSDAQ,500,29989494
동신건설,025950,KOSDAQ,500,8400000
동아쏘시오홀딩스,000640,KOSPI,5000,6536434
동아에스티,170900,KOSPI,5000,9352645
동아엘텍,088130,KOSDAQ,500,17485314
동아지질,028100,KOSPI,500,13389502
동아화성,041930,KOSDAQ,500,15800000
동양우,001525,KOSPI,500,617731
동양2우B,001527,KOSPI,500,308569
동양고속,084670,KOSPI,5000,2895569
동양,001520,KOSPI,500,238684063
동양생명,082640,KOSPI,5000,161358585
동양에스텍,060380,KOSDAQ,500,19700000
동양이엔피,079960,KOSDAQ,500,7860000
동양철관,008970,KOSPI,500,159323019
동양파일,228340,KOSDAQ,500,20000000
동우팜투테이블,088910,KOSDAQ,500,25831764
동운아나텍,094170,KOSDAQ,500,20909936
동원F&B,049770,KOSPI,1000,19295620
동원개발,013120,KOSDAQ,500,90808100
동원금속,018500,KOSPI,500,46754933
동원산업,006040,KOSPI,1000,39624084
동원수산,030720,KOSPI,5000,4653805
동원시스템즈우,014825,KOSPI,5000,264111
동원시스템즈,014820,KOSPI,5000,28991282
동인기연,111380,KOSPI,100,6128000
